Cas,HR
17:17:34,101

17:17:35,88

17:17:36,158

17:17:37,141

17:17:38,107

17:17:39,87

17:17:40,82

17:17:41,131

17:17:42,154

17:17:43,120

17:17:44,126

17:17:45,148

17:17:46,163

17:17:47,138

17:17:48,145

17:17:49,159

17:17:50,167

17:17:51,153

17:17:52,153

17:17:53,120

17:17:54,123

17:17:55,134

17:17:56,113

17:17:57,90

17:17:58,113

17:17:59,111

17:17:00,107

17:17:01,94

17:17:02,90

17:17:03,101

17:17:04,104

17:17:05,96

17:17:06,79

17:17:07,79

17:17:08,104

17:17:09,100

17:17:10,136

17:17:11,139

17:17:12,130

17:17:13,127

17:17:14,154

17:17:15,113

17:17:16,123

17:17:17,122

17:17:18,138

17:17:19,157

17:17:20,142

17:17:21,163

17:17:22,137

17:17:23,143

17:17:24,162

17:17:25,141

17:17:26,123

17:17:27,95

17:17:28,94

17:17:29,158

17:17:30,157

17:17:31,160

17:17:32,146

17:17:33,160

17:17:34,160

17:17:35,157

17:17:36,160

17:17:37,143

17:17:38,168

17:17:39,168

17:17:40,151

17:17:41,151

17:17:42,163

17:17:43,138

17:17:44,140

17:17:45,160

17:17:46,163

17:17:47,167

17:17:48,148

17:17:49,147

17:17:50,148

17:17:51,143

17:17:52,159

17:17:53,160

17:17:54,170

17:17:55,111

17:17:56,83

17:17:57,76

17:17:58,113

17:17:59,112

17:19:00,112

17:19:01,111

17:19:02,111

17:19:03,81

17:19:04,105

17:19:05,107

17:19:06,105

17:19:07,110

17:19:08,155

17:19:09,168

17:19:10,143

17:19:11,154

17:19:12,132

17:19:13,117

17:19:14,151

17:19:15,142

17:19:16,168

17:19:17,140

17:19:18,147

17:19:19,149

17:19:20,124

17:19:21,124

17:19:22,124

17:19:23,82

17:19:24,82

17:19:25,86

17:19:26,131

17:19:27,153

17:19:28,144

17:19:29,116

17:19:30,92

17:19:31,77

17:19:32,112

17:19:33,111

17:19:34,113

17:19:35,111

17:19:36,113

17:19:37,80

17:19:38,100

17:19:39,163

17:19:40,142

17:19:41,123

17:19:42,123

17:19:43,164

17:19:44,164

17:19:45,141

17:19:46,165

17:19:47,143

17:19:48,136

17:19:49,158

17:19:50,135

17:19:51,123

17:19:52,115

17:19:53,119

17:19:54,111

17:19:55,119

17:19:56,126

17:19:57,126

17:19:57,127

17:19:58,168

17:19:59,164

17:19:00,143

17:19:01,148

17:19:02,124

17:19:03,145

17:19:04,165

17:19:05,170

17:19:06,142

17:19:07,96

17:19:08,122

17:19:09,156

17:19:10,158

17:19:11,164

17:19:12,123

17:19:13,122

17:19:14,165

17:19:15,165

17:19:16,163

17:19:17,164

17:19:18,160

17:19:19,157

17:19:20,157

17:19:21,160

17:19:22,163

17:19:23,160

17:19:24,165

17:19:25,165

17:19:26,128

17:19:27,128

17:19:28,117

17:19:29,160

17:19:30,160

17:19:31,164

17:19:32,168

17:19:33,166

17:19:34,165

17:19:35,160

17:19:36,163

17:19:37,164

17:19:38,160

17:19:39,143

17:19:40,140

17:19:41,161

17:19:42,175

17:19:43,160

17:19:44,163

17:19:45,161

17:19:46,161

17:19:47,167

17:19:48,125

17:19:49,101

17:19:50,109

17:19:51,152

17:19:52,125

17:19:53,148

17:19:54,170

17:19:55,154

17:19:56,167

17:19:57,171

17:19:58,173

17:19:59,154

17:21:00,122

17:21:01,124

17:21:02,136

17:21:03,151

17:21:04,127

17:21:05,98

17:21:06,119

17:21:07,118

17:21:08,144

17:21:09,171

17:21:10,163

17:21:11,153

17:21:12,146

17:21:13,130

17:21:14,125

17:21:15,119

17:21:16,168

17:21:17,174

17:21:18,168

17:21:19,152

17:21:20,125

17:21:21,125

17:21:22,130

17:21:23,167

17:21:24,152

17:21:25,142

17:21:26,170

17:21:27,146

17:21:28,145

17:21:29,163

17:21:30,171

17:21:31,151

17:21:32,110

17:21:33,116

17:21:34,114

17:21:35,161

17:21:36,167

17:21:37,170

17:21:38,131

17:21:39,132

17:21:40,110

17:21:41,71

17:21:42,81

17:21:43,153

17:21:44,164

17:21:45,147

17:21:46,143

17:21:47,135

17:21:48,118

17:21:49,134

17:21:50,135

17:21:51,115

17:21:52,120

17:21:53,129

17:21:54,112

17:21:55,89


